Potentilla grandiflora	species	Rosaceae
Cortinarius diosmus	species	Cortinariaceae
Festuca novaezealandiae	species	Poaceae
Cortinarius balteaticlavatus	species	Cortinariaceae
Xerosicyos tripartitus	species	Cucurbitaceae
Primula fasciculata	species	Primulaceae
Forsstroemia cryphaeoides	species	Leptodontaceae
Formanodendron	genus	Fagaceae
Osmorhiza depauperata	species	Apiaceae
[Candida] aglyptini	species	Debaryomycetaceae
Phlyctochytrium palustre	species	Chytridiaceae
Neocladosporium	genus	Cladosporiaceae
Clivia gardenii	species	Amaryllidaceae
Tuber uncinatum	species	Tuberaceae
Isodon	genus	Lamiaceae
Scapiarabis	genus	Brassicaceae
Nuphar japonica	species	Nymphaeaceae
Anacamptis laxiflora	species	Orchidaceae
Taiwanobryum speciosum	species	Leptodontaceae
Cunninghamella elegans	species	Cunninghamellaceae
Pyronema	genus	Pyronemataceae
Haloxylon ammodendron	species	Chenopodiaceae
Alternaria anagallidis	species	Pleosporaceae
Celastrus	genus	Celastraceae
Scleroderma sp. 1 SS-2016	species	Sclerodermataceae
Lophodermium eucalypti	species	Rhytismataceae
Diplusodon glaucescens	species	Lythraceae
Symbiodinium sp. Three0504-8	species	Symbiodiniaceae
Symbiodinium sp. Three0504-9	species	Symbiodiniaceae
Papenfussiella	genus	Chordariaceae
Beaucarnea compacta	species	Asparagaceae
Symbiodinium sp. Three0504-2	species	Symbiodiniaceae
Symbiodinium sp. Three0504-3	species	Symbiodiniaceae
Brassicaceae	family	Brassicaceae
Betula ashburneri	species	Betulaceae
Symbiodinium sp. Three0504-6	species	Symbiodiniaceae
Symbiodinium sp. Three0504-7	species	Symbiodiniaceae
Dactylorhiza	genus	Orchidaceae
Silene andryalifolia	species	Caryophyllaceae
Porellaceae	family	Porellaceae
Laccaria salmonicolor	species	Tricholomataceae
Mesodinium	genus	Mesodiniidae
Aconitum sinomontanum	species	Ranunculaceae
Penicillium sp. CCFL5	species	Aspergillaceae
Characium	genus	Chlorococcaceae
Sordaria lappae	species	Sordariaceae
Schizachyrium brevifolium	species	Poaceae
Trifolium globosum	species	Fabaceae
Sympetrum sanguineum	species	Libellulidae
Citrus amblycarpa	species	Rutaceae
Inga sp. 55 TP-2009	species	Fabaceae
Ustilago maydis	species	Ustilaginaceae
Psathyrella pyrotricha	species	Psathyrellaceae
Nannizziopsis vriesii	species	Nannizziopsiaceae
Lysipomia pumila	species	Campanulaceae
Cenchrus longisetus	species	Poaceae
Vuilleminiaceae	family	Vuilleminiaceae
Melanocenchris jacquemontii	species	Poaceae
Dichaea obovatipetala	species	Orchidaceae
Descomyces angustisporus	species	Bolbitiaceae
Trypethelium eluteriae	species	Trypetheliaceae
Cryphodera sp. C SAS-2011	species	Heteroderidae
Colletotrichum sp. SBJP_Y025	species	Glomerellaceae
Aedes simpsoni	species	Culicidae
Fridericia granulocyta	species	Enchytraeidae
Colletotrichum cordylinicola	species	Glomerellaceae
Pachylepyrium nubicola	species	Strophariaceae
Colletotrichum sp. BAB-4679	species	Glomerellaceae
Asanthus	genus	Asteraceae
Scardinius erythrophthalmus	species	Cyprinidae
Penicillium spathulatum	species	Aspergillaceae
Castilleja beldingii	species	Orobanchaceae
Umbilicaria americana	species	Umbilicariaceae
Peperomia	genus	Piperaceae
Phragmites australis	species	Poaceae
Warreopsis colorata	species	Orchidaceae
Chaptalia pringlei	species	Asteraceae
Heuchera chlorantha	species	Saxifragaceae
Thespesia cubensis	species	Malvaceae
Trogia venenata	species	Tricholomataceae
Trifolium trichocalyx	species	Fabaceae
Podosphaera carpesiicola	species	Erysiphaceae
Suillus asiaticus	species	Suillaceae
Micromonas sp. RCC300	species	Mamiellaceae
Satsuma	genus	Camaenidae
Specklinia cabellensis	species	Orchidaceae
Anastrophyllum sphenoloboides	species	Anastrophyllaceae
Pseudococcus longispinus	species	Pseudococcidae
Tilletia fusca	species	Tilletiaceae
Dynastes neptunus	species	Scarabaeidae
Conocybe cettoiana	species	Bolbitiaceae
Dothiorella westralis	species	Botryosphaeriaceae
Sticta macrophylla	species	Lobariaceae
Ciboria shiraiana	species	Sclerotiniaceae
Anterastes cf. burri 359iUSMcbr	species	Tettigoniidae
Tetranychus	genus	Tetranychidae
Yponomeuta plumbellus	species	Yponomeutidae
Colletotrichum tebeestii	species	Glomerellaceae
Heterorhabditis sp. LQ-2003	species	Heterorhabditidae
Guignardia sp. VegaE1-91	species	Phyllostictaceae
Synura uvella	species	Mallomonadaceae
Glomus sp. Bad Sachsa	species	Glomeraceae
Pimpinella oreophila	species	Apiaceae
Senecio glaberrimus	species	Asteraceae
Hoodia ruschii	species	Apocynaceae
Polemannia grossulariifolia	species	Apiaceae
Saussurea medusa	species	Asteraceae
Hyphoderma subsetigerum	species	Corticiaceae
Oxalis pocockiae	species	Oxalidaceae
Pirottaea palmicola	species	Dermateaceae
Fulcaldea laurifolia	species	Asteraceae
Cleomaceae	family	Cleomaceae
Opuntia pottsii	species	Cactaceae
Kermatia	genus	Chlorellaceae
Thielavia microspora	species	Chaetomiaceae
Ornithidium serrulatum	species	Orchidaceae
Melampsoraceae	family	Melampsoraceae
Wickerhamomyces subpelliculosus	species	Phaffomycetaceae
Aphanochaete magnum	species	Aphanochaetaceae
Barssia	genus	Helvellaceae
Pleopsidium chlorophanum	species	Acarosporaceae
Cucumis trigonus	species	Cucurbitaceae
Leptosyne californica	species	Asteraceae
Coffea fadenii	species	Rubiaceae
Acacia citrinoviridis	species	Fabaceae
Chromolucuma rubriflora	species	Sapotaceae
Echinostomatidae	family	Echinostomatidae
Phomopsis phyllanthicola	species	Valsaceae
Panellus edulis	species	Tricholomataceae
Colletotrichum sp. Col-68	species	Glomerellaceae
Teratosphaeria	genus	Teratosphaeriaceae
Rubus bifrons	species	Rosaceae
Amphora sp. HN08	species	Catenulaceae
Robbaueraceae	family	Robbaueraceae
Barbilophozia	genus	Anastrophyllaceae
Siganus punctatus	species	Siganidae
Griselinia ruscifolia	species	Griseliniaceae
Venturia aceris	species	Venturiaceae
Vanderwaltozyma	genus	Saccharomycetaceae
Urocystis fischeri	species	Urocystidaceae
Gasteria ellaphieae	species	Asphodelaceae
Misodendraceae	family	Misodendraceae
Caulerpa webbiana	species	Caulerpaceae
Ponticulomyces kedrovayae	species	Physalacriaceae
Leptosphaeria sp. GFI 123	species	Leptosphaeriaceae
Cynanchum thesioides	species	Apocynaceae
Hildaea ruprechtii	species	Poaceae
Erica frigida	species	Ericaceae
Daucus carota	species	Apiaceae
Conium sp. 3 JMS-2010	species	Apiaceae
Drechslera	genus	Pleosporaceae
Rafflesia kerrii	species	Rafflesiaceae
Pterostylis silvicultrix	species	Orchidaceae
Heterodera ciceri	species	Heteroderidae
Ganoderma tuberculosum	species	Ganodermataceae
Gonatocerus triguttatus	species	Mymaridae
Hackelia diffusa	species	Boraginaceae
Homalothecium nevadense	species	Brachytheciaceae
Agelas sventres	species	Agelasidae
Rafnia amplexicaulis	species	Fabaceae
Dichaea neglecta	species	Orchidaceae
Penicillium verhagenii	species	Aspergillaceae
Amanita sp. LEM35-2005	species	Amanitaceae
Erysiphe howeana	species	Erysiphaceae
Paecilomyces sp. IBL 03068	species	Clavicipitaceae
Campyliadelphus	genus	Amblystegiaceae
Penicillium tularense	species	Aspergillaceae
Ostreococcus sp. BCC64000	species	Bathycoccaceae
Coprinopsis sp. 7 LGN-2012	species	Psathyrellaceae
Paecilomyces sp. IBL 03067	species	Clavicipitaceae
Schizymeniaceae	family	Schizymeniaceae
Corymbia eximia	species	Myrtaceae
Maxillaria allenii	species	Orchidaceae
Sticta maculofuliginosa	species	Lobariaceae
Camellia taliensis	species	Theaceae
Caloplaca pinicola	species	Teloschistaceae
Litophyton sp. Coel. 32053-1545	species	Nephtheidae
Hylomecon hylomeconoides	species	Papaveraceae
Noronhia incurvifolia	species	Oleaceae
Thielaviopsis basicola	species	Ceratocystidaceae
Cololabis	genus	Belonidae
Alternaria grandis	species	Pleosporaceae
Oxalis drummondii	species	Oxalidaceae
Pictetia aculeata	species	Fabaceae
Trifolium tumens	species	Fabaceae
Agaricus sp. 93.10	species	Agaricaceae
Trichilia	genus	Meliaceae
Alpinia vittata	species	Zingiberaceae
Polygala pinifolia	species	Polygalaceae
Pseudocyphellaria gallowayana	species	Lobariaceae
Turbinaria reniformis	species	Dendrophylliidae
Epicoccum sp. CPO 10.006	species	Didymellaceae
Epicoccum sp. CPO 10.007	species	Didymellaceae
Hebenstretia	genus	Scrophulariaceae
Ostertagia ostertagi	species	Trichostrongylidae
Nesobasis telegastrum	species	Coenagrionidae
Symbiodinium sp. PpAT1	species	Symbiodiniaceae
Pucciniastrum hydrangeae-petiolaris	species	Pucciniastraceae
Sticta atlantica	species	Lobariaceae
Ramularia grevilleana	species	Mycosphaerellaceae
Colletotrichum sp. SAUCC130804	species	Glomerellaceae
Stylidium calcaratum	species	Stylidiaceae
Potentilla hippiana	species	Rosaceae
Rhododendron simsii	species	Ericaceae
Orobanche macrolepis	species	Orobanchaceae
Phyteuma vagneri	species	Campanulaceae
Carex rossii	species	Cyperaceae
Cladosporium dominicanum	species	Cladosporiaceae
Brachythecium campestre	species	Brachytheciaceae
Epizoanthus aff. Corallizoanthus tsukaharai TDS-2010	species	Epizoanthidae
Allium przewalskianum	species	Amaryllidaceae
Cortinarius taylorianus	species	Cortinariaceae
Pulsatilla turczaninovii	species	Ranunculaceae
Primula serratifolia	species	Primulaceae
Croton watsonii	species	Euphorbiaceae
Acacia linearifolia	species	Fabaceae
Amanita arocheae	species	Amanitaceae
Descomyces sp. TRAPPE14325	species	Bolbitiaceae
Ficus hederacea	species	Moraceae
Massaria conspurcata	species	Massariaceae
Isopyrum manshuricum	species	Ranunculaceae
Mrakia blollopis	species	Mrakiaceae
Hoya imbricata	species	Apocynaceae
Megacodon	genus	Gentianaceae
Oxalis exserta	species	Oxalidaceae
Lamourouxia	genus	Orobanchaceae
Ostrea denselamellosa	species	Ostreidae
Linnaea	genus	Caprifoliaceae
Lentinellus montanus	species	Auriscalpiaceae
Sagittaria	genus	Alismataceae
Cortispongilla	genus	Malawispongiidae
Clathrinidae	family	Clathrinidae
Circinaria sp. SG-2015b	species	Megasporaceae
Callicarpa rubella	species	Lamiaceae
Cyphellophora fusarioides	species	Cyphellophoraceae
Lithocarpus revolutus	species	Fagaceae
Tephrocybe rancida	species	Lyophyllaceae
Platypodanthera	genus	Asteraceae
Colletotrichum grevilleae	species	Glomerellaceae
Leucobryum glaucum	species	Leucobryaceae
Trichoderma fertile	species	Hypocreaceae
Maxillaria longipes	species	Orchidaceae
Dendrobium amoenum	species	Orchidaceae
Fucus distichus	species	Fucaceae
Ocotea	genus	Lauraceae
Cryptococcus sp. GT-372	species	Trichosporonaceae
Castanopsis hystrix	species	Fagaceae
Talaromyces purpureogenus	species	Trichocomaceae
Pozoa volcanica	species	Apiaceae
Jahnula bipileata	species	Aliquandostipitaceae
Angelica longipes	species	Apiaceae
Inocybe subfibrosoides	species	Inocybaceae
Empria loktini	species	Tenthredinidae
Cortinarius nolaneiformis	species	Cortinariaceae
Pristionchus	genus	Neodiplogasteridae
Elatostema hybrid cultivar	species	Urticaceae
Aplysina cauliformis	species	Aplysinidae
Poa costiniana	species	Poaceae
cf. Stagonospora sp. CPC 22155	species	Massarinaceae
Cytisus	genus	Fabaceae
Tuckermannopsis chlorophylla	species	Parmeliaceae
Eutrema edwardsii	species	Brassicaceae
Septofusidium	genus	Tilachlidiaceae
Desmodesmus sp. A8	species	Scenedesmaceae
Brachysiphon acutus	species	Penaeaceae
Entodon dregeanus	species	Entodontaceae
Sohnsia	genus	Poaceae
Xanthoparmelia mougeotii	species	Parmeliaceae
Pestalotiopsis knightiae	species	Sporocadaceae
Leontodon filii	species	Asteraceae
Trapeliopsis glaucolepidea	species	Trapeliaceae
Gongylocarpus fruticulosus	species	Onagraceae
Pseudovorticella punctata	species	Vorticellidae
Acer carpinifolium	species	Sapindaceae
Skeletocutis chrysella	species	Polyporaceae
Cortinarius tiliae	species	Cortinariaceae
Nitella hyalina	species	Characeae
Diplasiolejeunea kraussiana	species	Lejeuneaceae
Clitopilopsis hirneola	species	Entolomataceae
Paecilomyces sp. ALAS-1	species	Thermoascaceae
Paris delavayi	species	Melanthiaceae
Stemona aphylla	species	Stemonaceae
Eugenia orbiculata	species	Myrtaceae
Cortinarius rubrophyllus	species	Cortinariaceae
Draba lasiophylla	species	Brassicaceae
Eucalyptus baeuerlenii	species	Myrtaceae
Teucrium melissoides	species	Lamiaceae
Boronia floribunda	species	Rutaceae
Gymnomitrion concinnatum	species	Gymnomitriaceae
Schizophyllum umbrinum	species	Schizophyllaceae
Erysiphe sp. KL	species	Erysiphaceae
Readeriella pseudocallista	species	Mycosphaerellaceae
Heracleum scabridum	species	Apiaceae
Teratosphaeria sp. CPC 14997	species	Teratosphaeriaceae
Psychotria comptonii	species	Rubiaceae
Claviceps digitariae	species	Clavicipitaceae
Lentinellus cystidiosus	species	Auriscalpiaceae
Chaetomium mollipilium	species	Chaetomiaceae
Scapophyllia cylindrica	species	Merulinidae
Monacrosporium elegans	species	Orbiliaceae
Aspergillus micronesiensis	species	Aspergillaceae
Pilea peperomioides	species	Urticaceae
Diaspididae	family	Diaspididae
Erysiphe aquilegiae	species	Erysiphaceae
[Candida] emberorum	species	Debaryomycetaceae
Derxomyces pseudocylindrica	species	Bulleribasidiaceae
Sophora tomentosa	species	Fabaceae
Trichodrilus strandi	species	Lumbriculidae
Dicyclophora persica	species	Apiaceae
Phoxinellus	genus	Cyprinidae
Microphallus triangulatus	species	Microphallidae
Tetraberlinia moreliana	species	Fabaceae
Cladosporium porophorum	species	Cladosporiaceae
Chascolytrum ambiguum	species	Poaceae
Lichenobarya	genus	Hypocreaceae
Specklinia glandulosa	species	Orchidaceae
Cayaponia racemosa	species	Cucurbitaceae
Chrysopogon orientalis	species	Poaceae
Eucalyptus tenella	species	Myrtaceae
Calanthe tricarinata	species	Orchidaceae
Veronica missurica	species	Plantaginaceae
Etlingera yunnanensis	species	Zingiberaceae
Sideroxylon obovatum	species	Sapotaceae
Staphyleaceae	family	Staphyleaceae
Cladosporium sp. LL	species	Cladosporiaceae
Kazachstania sp.	species	Saccharomycetaceae
Muhlenbergia gigantea	species	Poaceae
Poa orthoclada	species	Poaceae
Cystoderma sp. PDD 99553	species	Agaricaceae
Bactrocera invadens	species	Tephritidae
Nemipterus	genus	Nemipteridae
Paxillus ammoniavirescens	species	Paxillaceae
